training_exp,epoch,training_items,training_accuracy,val_accuracy,training_timing,val_timing,training_ram_usage,val_ram_usage
0,0,60000,0.8635,-1,45.0669,-1,4039.2930,-1
0,1,60000,0.9360,-1,44.7996,-1,4039.5547,-1
0,2,60000,0.9530,-1,45.4104,-1,4039.8164,-1
0,3,60000,0.9640,-1,45.4950,-1,4040.0703,-1
1,0,60000,0.8701,-1,49.0769,-1,4044.0078,-1
1,1,60000,0.9304,-1,49.3212,-1,4043.5820,-1
1,2,60000,0.9455,-1,52.0609,-1,4043.6953,-1
1,3,60000,0.9540,-1,51.6189,-1,4043.9141,-1
2,0,60000,0.8656,-1,50.2432,-1,4047.7539,-1
2,1,60000,0.9265,-1,52.1094,-1,4048.0195,-1
2,2,60000,0.9422,-1,53.6624,-1,4048.2656,-1
2,3,60000,0.9516,-1,50.2857,-1,4048.4922,-1
3,0,60000,0.8636,-1,47.9857,-1,4052.4023,-1
3,1,60000,0.9234,-1,47.7108,-1,4049.6797,-1
3,2,60000,0.9385,-1,47.4714,-1,4049.6836,-1
3,3,60000,0.9478,-1,46.5657,-1,4050.7969,-1
4,0,60000,0.8710,-1,49.0443,-1,4053.0781,-1
4,1,60000,0.9314,-1,49.7103,-1,4053.1367,-1
4,2,60000,0.9452,-1,49.9934,-1,4053.3320,-1
4,3,60000,0.9552,-1,50.4149,-1,4053.5352,-1
